Negara,Tanggal,Varian,N_Positif
Egypt,2020-05-11,Alpha,0
Egypt,2020-05-11,Beta,0
Egypt,2020-05-11,Gamma,0
Egypt,2020-05-11,Mu,0
Egypt,2020-05-11,Omicron,0
Egypt,2020-05-25,Alpha,0
Egypt,2020-05-25,Beta,0
Egypt,2020-05-25,Gamma,0
Egypt,2020-05-25,Mu,0
Egypt,2020-05-25,Omicron,0
Egypt,2020-06-08,Alpha,0
Egypt,2020-06-08,Beta,0
Egypt,2020-06-08,Gamma,0
Egypt,2020-06-08,Mu,0
Egypt,2020-06-08,Omicron,0
Egypt,2020-06-22,Alpha,0
Egypt,2020-06-22,Beta,0
Egypt,2020-06-22,Gamma,0
Egypt,2020-06-22,Mu,0
Egypt,2020-06-22,Omicron,0
Egypt,2020-07-06,Alpha,0
Egypt,2020-07-06,Beta,0
Egypt,2020-07-06,Gamma,0
Egypt,2020-07-06,Mu,0
Egypt,2020-07-06,Omicron,0
Egypt,2020-07-20,Alpha,0
Egypt,2020-07-20,Beta,0
Egypt,2020-07-20,Gamma,0
Egypt,2020-07-20,Mu,0
Egypt,2020-07-20,Omicron,0
Egypt,2020-08-03,Alpha,0
Egypt,2020-08-03,Beta,0
Egypt,2020-08-03,Gamma,0
Egypt,2020-08-03,Mu,0
Egypt,2020-08-03,Omicron,0
Egypt,2020-08-17,Alpha,0
Egypt,2020-08-17,Beta,0
Egypt,2020-08-17,Gamma,0
Egypt,2020-08-17,Mu,0
Egypt,2020-08-17,Omicron,0
Egypt,2020-08-31,Alpha,0
Egypt,2020-08-31,Beta,0
Egypt,2020-08-31,Gamma,0
Egypt,2020-08-31,Mu,0
Egypt,2020-08-31,Omicron,0
Egypt,2020-09-14,Alpha,0
Egypt,2020-09-14,Beta,0
Egypt,2020-09-14,Gamma,0
Egypt,2020-09-14,Mu,0
Egypt,2020-09-14,Omicron,0
Egypt,2020-09-28,Alpha,0
Egypt,2020-09-28,Beta,0
Egypt,2020-09-28,Gamma,0
Egypt,2020-09-28,Mu,0
Egypt,2020-09-28,Omicron,0
Egypt,2020-10-12,Alpha,0
Egypt,2020-10-12,Beta,0
Egypt,2020-10-12,Gamma,0
Egypt,2020-10-12,Mu,0
Egypt,2020-10-12,Omicron,0
Egypt,2020-10-26,Alpha,0
Egypt,2020-10-26,Beta,0
Egypt,2020-10-26,Gamma,0
Egypt,2020-10-26,Mu,0
Egypt,2020-10-26,Omicron,0
Egypt,2020-11-09,Alpha,0
Egypt,2020-11-09,Beta,0
Egypt,2020-11-09,Gamma,0
Egypt,2020-11-09,Mu,0
Egypt,2020-11-09,Omicron,0
Egypt,2020-11-23,Alpha,0
Egypt,2020-11-23,Beta,0
Egypt,2020-11-23,Gamma,0
Egypt,2020-11-23,Mu,0
Egypt,2020-11-23,Omicron,0
Egypt,2020-12-07,Alpha,0
Egypt,2020-12-07,Beta,0
Egypt,2020-12-07,Gamma,0
Egypt,2020-12-07,Mu,0
Egypt,2020-12-07,Omicron,0
Egypt,2020-12-21,Alpha,0
Egypt,2020-12-21,Beta,0
Egypt,2020-12-21,Gamma,0
Egypt,2020-12-21,Mu,0
Egypt,2020-12-21,Omicron,0
Egypt,2021-01-04,Alpha,0
Egypt,2021-01-04,Beta,0
Egypt,2021-01-04,Gamma,0
Egypt,2021-01-04,Mu,0
Egypt,2021-01-04,Omicron,0
Egypt,2021-01-11,Alpha,0
Egypt,2021-01-11,Beta,0
Egypt,2021-01-11,Gamma,0
Egypt,2021-01-11,Mu,0
Egypt,2021-01-11,Omicron,0
Egypt,2021-01-25,Alpha,0
Egypt,2021-01-25,Beta,0
Egypt,2021-01-25,Gamma,0
Egypt,2021-01-25,Mu,0
Egypt,2021-01-25,Omicron,0
Egypt,2021-02-22,Alpha,0
Egypt,2021-02-22,Beta,0
Egypt,2021-02-22,Gamma,0
Egypt,2021-02-22,Mu,0
Egypt,2021-02-22,Omicron,0
Egypt,2021-03-08,Alpha,3
Egypt,2021-03-08,Beta,0
Egypt,2021-03-08,Gamma,0
Egypt,2021-03-08,Mu,0
Egypt,2021-03-08,Omicron,0
Egypt,2021-03-22,Alpha,1
Egypt,2021-03-22,Beta,0
Egypt,2021-03-22,Gamma,0
Egypt,2021-03-22,Mu,0
Egypt,2021-03-22,Omicron,0
Egypt,2021-04-05,Alpha,10
Egypt,2021-04-05,Beta,0
Egypt,2021-04-05,Gamma,0
Egypt,2021-04-05,Mu,0
Egypt,2021-04-05,Omicron,0
Egypt,2021-04-19,Alpha,1
Egypt,2021-04-19,Beta,0
Egypt,2021-04-19,Gamma,0
Egypt,2021-04-19,Mu,0
Egypt,2021-04-19,Omicron,0
Egypt,2021-05-03,Alpha,8
Egypt,2021-05-03,Beta,0
Egypt,2021-05-03,Gamma,0
Egypt,2021-05-03,Mu,0
Egypt,2021-05-03,Omicron,0
Egypt,2021-05-17,Alpha,3
Egypt,2021-05-17,Beta,0
Egypt,2021-05-17,Gamma,0
Egypt,2021-05-17,Mu,0
Egypt,2021-05-17,Omicron,0
Egypt,2021-05-31,Alpha,3
Egypt,2021-05-31,Beta,0
Egypt,2021-05-31,Gamma,0
Egypt,2021-05-31,Mu,0
Egypt,2021-05-31,Omicron,0
Egypt,2021-06-14,Alpha,0
Egypt,2021-06-14,Beta,0
Egypt,2021-06-14,Gamma,0
Egypt,2021-06-14,Mu,0
Egypt,2021-06-14,Omicron,0
Egypt,2021-06-28,Alpha,0
Egypt,2021-06-28,Beta,0
Egypt,2021-06-28,Gamma,0
Egypt,2021-06-28,Mu,0
Egypt,2021-06-28,Omicron,0
Egypt,2021-07-12,Alpha,0
Egypt,2021-07-12,Beta,0
Egypt,2021-07-12,Gamma,0
Egypt,2021-07-12,Mu,0
Egypt,2021-07-12,Omicron,0
Egypt,2021-07-26,Alpha,0
Egypt,2021-07-26,Beta,0
Egypt,2021-07-26,Gamma,0
Egypt,2021-07-26,Mu,0
Egypt,2021-07-26,Omicron,0
Egypt,2021-08-09,Alpha,0
Egypt,2021-08-09,Beta,0
Egypt,2021-08-09,Gamma,0
Egypt,2021-08-09,Mu,0
Egypt,2021-08-09,Omicron,0
Egypt,2021-09-06,Alpha,0
Egypt,2021-09-06,Beta,0
Egypt,2021-09-06,Gamma,0
Egypt,2021-09-06,Mu,0
Egypt,2021-09-06,Omicron,0
Egypt,2021-09-20,Alpha,0
Egypt,2021-09-20,Beta,0
Egypt,2021-09-20,Gamma,0
Egypt,2021-09-20,Mu,0
Egypt,2021-09-20,Omicron,0
Egypt,2021-10-04,Alpha,0
Egypt,2021-10-04,Beta,0
Egypt,2021-10-04,Gamma,0
Egypt,2021-10-04,Mu,0
Egypt,2021-10-04,Omicron,0
Egypt,2021-10-18,Alpha,0
Egypt,2021-10-18,Beta,0
Egypt,2021-10-18,Gamma,0
Egypt,2021-10-18,Mu,0
Egypt,2021-10-18,Omicron,0
Egypt,2021-11-01,Alpha,0
Egypt,2021-11-01,Beta,0
Egypt,2021-11-01,Gamma,0
Egypt,2021-11-01,Mu,0
Egypt,2021-11-01,Omicron,0
Egypt,2021-11-15,Alpha,0
Egypt,2021-11-15,Beta,0
Egypt,2021-11-15,Gamma,0
Egypt,2021-11-15,Mu,0
Egypt,2021-11-15,Omicron,0
Egypt,2021-11-29,Alpha,0
Egypt,2021-11-29,Beta,0
Egypt,2021-11-29,Gamma,0
Egypt,2021-11-29,Mu,0
Egypt,2021-11-29,Omicron,0
Egypt,2021-12-13,Alpha,0
Egypt,2021-12-13,Beta,0
Egypt,2021-12-13,Gamma,0
Egypt,2021-12-13,Mu,0
Egypt,2021-12-13,Omicron,1
Finland,2020-05-11,Alpha,0
Finland,2020-05-11,Beta,0
Finland,2020-05-11,Gamma,0
Finland,2020-05-11,Mu,0
Finland,2020-05-11,Omicron,0
Finland,2020-05-25,Alpha,0
Finland,2020-05-25,Beta,0
Finland,2020-05-25,Gamma,0
Finland,2020-05-25,Mu,0
Finland,2020-05-25,Omicron,0
Finland,2020-06-08,Alpha,0
Finland,2020-06-08,Beta,0
Finland,2020-06-08,Gamma,0
Finland,2020-06-08,Mu,0
Finland,2020-06-08,Omicron,0
Finland,2020-06-22,Alpha,0
Finland,2020-06-22,Beta,0
Finland,2020-06-22,Gamma,0
Finland,2020-06-22,Mu,0
Finland,2020-06-22,Omicron,0
Finland,2020-08-17,Alpha,0
Finland,2020-08-17,Beta,0
Finland,2020-08-17,Gamma,0
Finland,2020-08-17,Mu,0
Finland,2020-08-17,Omicron,0
Finland,2020-08-31,Alpha,0
Finland,2020-08-31,Beta,0
Finland,2020-08-31,Gamma,0
Finland,2020-08-31,Mu,0
Finland,2020-08-31,Omicron,0
Finland,2020-09-14,Alpha,0
Finland,2020-09-14,Beta,0
Finland,2020-09-14,Gamma,0
Finland,2020-09-14,Mu,0
Finland,2020-09-14,Omicron,0
Finland,2020-09-28,Alpha,0
Finland,2020-09-28,Beta,0
Finland,2020-09-28,Gamma,0
Finland,2020-09-28,Mu,0
Finland,2020-09-28,Omicron,0
Finland,2020-10-12,Alpha,0
Finland,2020-10-12,Beta,0
Finland,2020-10-12,Gamma,0
Finland,2020-10-12,Mu,0
Finland,2020-10-12,Omicron,0
Finland,2020-10-26,Alpha,0
Finland,2020-10-26,Beta,0
Finland,2020-10-26,Gamma,0
Finland,2020-10-26,Mu,0
Finland,2020-10-26,Omicron,0
Finland,2020-11-09,Alpha,0
Finland,2020-11-09,Beta,0
Finland,2020-11-09,Gamma,0
Finland,2020-11-09,Mu,0
Finland,2020-11-09,Omicron,0
Finland,2020-11-23,Alpha,0
Finland,2020-11-23,Beta,0
Finland,2020-11-23,Gamma,0
Finland,2020-11-23,Mu,0
Finland,2020-11-23,Omicron,0
Finland,2020-12-07,Alpha,0
Finland,2020-12-07,Beta,0
Finland,2020-12-07,Gamma,0
Finland,2020-12-07,Mu,0
Finland,2020-12-07,Omicron,0
Finland,2020-12-21,Alpha,3
Finland,2020-12-21,Beta,1
Finland,2020-12-21,Gamma,0
Finland,2020-12-21,Mu,0
Finland,2020-12-21,Omicron,0
Finland,2021-01-04,Alpha,46
Finland,2021-01-04,Beta,1
Finland,2021-01-04,Gamma,0
Finland,2021-01-04,Mu,0
Finland,2021-01-04,Omicron,0
Finland,2021-01-11,Alpha,11
Finland,2021-01-11,Beta,3
Finland,2021-01-11,Gamma,0
Finland,2021-01-11,Mu,0
Finland,2021-01-11,Omicron,0
Finland,2021-01-25,Alpha,242
Finland,2021-01-25,Beta,9
Finland,2021-01-25,Gamma,0
Finland,2021-01-25,Mu,0
Finland,2021-01-25,Omicron,0
Finland,2021-02-08,Alpha,611
Finland,2021-02-08,Beta,35
Finland,2021-02-08,Gamma,1
Finland,2021-02-08,Mu,0
Finland,2021-02-08,Omicron,0
Finland,2021-02-22,Alpha,1027
Finland,2021-02-22,Beta,78
Finland,2021-02-22,Gamma,0
Finland,2021-02-22,Mu,0
Finland,2021-02-22,Omicron,0
Finland,2021-03-08,Alpha,1047
Finland,2021-03-08,Beta,162
Finland,2021-03-08,Gamma,0
Finland,2021-03-08,Mu,0
Finland,2021-03-08,Omicron,0
Finland,2021-03-22,Alpha,1109
Finland,2021-03-22,Beta,365
Finland,2021-03-22,Gamma,0
Finland,2021-03-22,Mu,0
Finland,2021-03-22,Omicron,0
Finland,2021-04-05,Alpha,624
Finland,2021-04-05,Beta,263
Finland,2021-04-05,Gamma,0
Finland,2021-04-05,Mu,0
Finland,2021-04-05,Omicron,0
Finland,2021-04-19,Alpha,483
Finland,2021-04-19,Beta,178
Finland,2021-04-19,Gamma,0
Finland,2021-04-19,Mu,0
Finland,2021-04-19,Omicron,0
Finland,2021-05-03,Alpha,434
Finland,2021-05-03,Beta,67
Finland,2021-05-03,Gamma,0
Finland,2021-05-03,Mu,0
Finland,2021-05-03,Omicron,0
Finland,2021-05-17,Alpha,460
Finland,2021-05-17,Beta,40
Finland,2021-05-17,Gamma,0
Finland,2021-05-17,Mu,0
Finland,2021-05-17,Omicron,0
Finland,2021-05-31,Alpha,380
Finland,2021-05-31,Beta,7
Finland,2021-05-31,Gamma,3
Finland,2021-05-31,Mu,0
Finland,2021-05-31,Omicron,0
Finland,2021-06-14,Alpha,179
Finland,2021-06-14,Beta,1
Finland,2021-06-14,Gamma,0
Finland,2021-06-14,Mu,3
Finland,2021-06-14,Omicron,0
Finland,2021-06-28,Alpha,95
Finland,2021-06-28,Beta,2
Finland,2021-06-28,Gamma,0
Finland,2021-06-28,Mu,1
Finland,2021-06-28,Omicron,0
Finland,2021-07-12,Alpha,19
Finland,2021-07-12,Beta,0
Finland,2021-07-12,Gamma,8
Finland,2021-07-12,Mu,1
Finland,2021-07-12,Omicron,0
Finland,2021-07-26,Alpha,13
Finland,2021-07-26,Beta,1
Finland,2021-07-26,Gamma,2
Finland,2021-07-26,Mu,0
Finland,2021-07-26,Omicron,0
Finland,2021-08-09,Alpha,14
Finland,2021-08-09,Beta,0
Finland,2021-08-09,Gamma,3
Finland,2021-08-09,Mu,0
Finland,2021-08-09,Omicron,0
Finland,2021-08-23,Alpha,2
Finland,2021-08-23,Beta,0
Finland,2021-08-23,Gamma,2
Finland,2021-08-23,Mu,0
Finland,2021-08-23,Omicron,0
Finland,2021-09-06,Alpha,0
Finland,2021-09-06,Beta,0
Finland,2021-09-06,Gamma,0
Finland,2021-09-06,Mu,0
Finland,2021-09-06,Omicron,0
Finland,2021-09-20,Alpha,1
Finland,2021-09-20,Beta,0
Finland,2021-09-20,Gamma,0
Finland,2021-09-20,Mu,0
Finland,2021-09-20,Omicron,0
Finland,2021-10-04,Alpha,0
Finland,2021-10-04,Beta,0
Finland,2021-10-04,Gamma,0
Finland,2021-10-04,Mu,0
Finland,2021-10-04,Omicron,0
Finland,2021-10-18,Alpha,0
Finland,2021-10-18,Beta,0
Finland,2021-10-18,Gamma,0
Finland,2021-10-18,Mu,0
Finland,2021-10-18,Omicron,0
Finland,2021-11-01,Alpha,0
Finland,2021-11-01,Beta,0
Finland,2021-11-01,Gamma,0
Finland,2021-11-01,Mu,0
Finland,2021-11-01,Omicron,0
Finland,2021-11-15,Alpha,0
Finland,2021-11-15,Beta,0
Finland,2021-11-15,Gamma,0
Finland,2021-11-15,Mu,0
Finland,2021-11-15,Omicron,0
Finland,2021-11-29,Alpha,0
Finland,2021-11-29,Beta,0
Finland,2021-11-29,Gamma,0
Finland,2021-11-29,Mu,0
Finland,2021-11-29,Omicron,0
Germany,2020-05-11,Alpha,0
Germany,2020-05-11,Beta,0
Germany,2020-05-11,Gamma,0
Germany,2020-05-11,Mu,0
Germany,2020-05-11,Omicron,0
Germany,2020-05-25,Alpha,0
Germany,2020-05-25,Beta,0
Germany,2020-05-25,Gamma,0
Germany,2020-05-25,Mu,0
Germany,2020-05-25,Omicron,0
Germany,2020-06-08,Alpha,0
Germany,2020-06-08,Beta,0
Germany,2020-06-08,Gamma,0
Germany,2020-06-08,Mu,0
Germany,2020-06-08,Omicron,0
Germany,2020-06-22,Alpha,0
Germany,2020-06-22,Beta,0
Germany,2020-06-22,Gamma,0
Germany,2020-06-22,Mu,0
Germany,2020-06-22,Omicron,0
Germany,2020-07-06,Alpha,0
Germany,2020-07-06,Beta,0
Germany,2020-07-06,Gamma,0
Germany,2020-07-06,Mu,0
Germany,2020-07-06,Omicron,0
Germany,2020-07-20,Alpha,0
Germany,2020-07-20,Beta,0
Germany,2020-07-20,Gamma,0
Germany,2020-07-20,Mu,0
Germany,2020-07-20,Omicron,0
Germany,2020-08-03,Alpha,0
Germany,2020-08-03,Beta,0
Germany,2020-08-03,Gamma,0
Germany,2020-08-03,Mu,0
Germany,2020-08-03,Omicron,0
Germany,2020-08-17,Alpha,0
Germany,2020-08-17,Beta,0
Germany,2020-08-17,Gamma,0
Germany,2020-08-17,Mu,0
Germany,2020-08-17,Omicron,0
Germany,2020-08-31,Alpha,0
Germany,2020-08-31,Beta,0
Germany,2020-08-31,Gamma,0
Germany,2020-08-31,Mu,0
Germany,2020-08-31,Omicron,0
Germany,2020-09-14,Alpha,0
Germany,2020-09-14,Beta,0
Germany,2020-09-14,Gamma,0
Germany,2020-09-14,Mu,0
Germany,2020-09-14,Omicron,0
Germany,2020-09-28,Alpha,0
Germany,2020-09-28,Beta,0
Germany,2020-09-28,Gamma,0
Germany,2020-09-28,Mu,0
Germany,2020-09-28,Omicron,0
Germany,2020-10-12,Alpha,0
Germany,2020-10-12,Beta,0
Germany,2020-10-12,Gamma,0
Germany,2020-10-12,Mu,0
Germany,2020-10-12,Omicron,0
Germany,2020-10-26,Alpha,0
Germany,2020-10-26,Beta,0
Germany,2020-10-26,Gamma,0
Germany,2020-10-26,Mu,0
Germany,2020-10-26,Omicron,0
Germany,2020-11-09,Alpha,0
Germany,2020-11-09,Beta,0
Germany,2020-11-09,Gamma,0
Germany,2020-11-09,Mu,0
Germany,2020-11-09,Omicron,0
Germany,2020-11-23,Alpha,0
Germany,2020-11-23,Beta,0
Germany,2020-11-23,Gamma,0
Germany,2020-11-23,Mu,0
Germany,2020-11-23,Omicron,0
Germany,2020-12-07,Alpha,3
Germany,2020-12-07,Beta,0
Germany,2020-12-07,Gamma,0
Germany,2020-12-07,Mu,0
Germany,2020-12-07,Omicron,0
Germany,2020-12-21,Alpha,8
Germany,2020-12-21,Beta,0
Germany,2020-12-21,Gamma,0
Germany,2020-12-21,Mu,0
Germany,2020-12-21,Omicron,0
Germany,2021-01-04,Alpha,25
Germany,2021-01-04,Beta,6
Germany,2021-01-04,Gamma,0
Germany,2021-01-04,Mu,0
Germany,2021-01-04,Omicron,0
Germany,2021-01-11,Alpha,12
Germany,2021-01-11,Beta,4
Germany,2021-01-11,Gamma,0
Germany,2021-01-11,Mu,0
Germany,2021-01-11,Omicron,0
Germany,2021-01-25,Alpha,337
Germany,2021-01-25,Beta,26
Germany,2021-01-25,Gamma,0
Germany,2021-01-25,Mu,0
Germany,2021-01-25,Omicron,0
Germany,2021-02-08,Alpha,1288
Germany,2021-02-08,Beta,60
Germany,2021-02-08,Gamma,2
Germany,2021-02-08,Mu,0
